order_id,order_date,region,country,channel,customer_segment,product,category,units_sold,unit_price,discount_pct,revenue
1000,2024-01-01,North America,Canada,Online,Consumer,Pulse Earbuds,Electronics,1,150.73,10,183.14
1001,2024-01-01,North America,USA,Partner,SMB,Pulse Earbuds,Electronics,2,155.17,15,356.12
1002,2024-01-02,Europe,Germany,Online,SMB,Lumen Lamp,Furniture,3,70.35,15,197.55
1003,2024-01-02,North America,USA,Online,Consumer,Canvas Backpack,Accessories,7,89.7,0,848.59
1004,2024-01-02,North America,Canada,Partner,SMB,Ink Pen Set,Stationery,2,24.01,5,61.65
1005,2024-01-02,North America,Canada,Online,SMB,Ergo Chair,Furniture,4,335.79,20,1452.2
1006,2024-01-02,North America,USA,Retail,Consumer,Ink Pen Set,Stationery,6,24.95,0,202.32
1007,2024-01-02,North America,Canada,Online,SMB,Flow Notebook,Stationery,3,12.54,10,45.76
1008,2024-01-03,Europe,Germany,Partner,SMB,Canvas Backpack,Accessories,4,89.29,15,334.68
1009,2024-01-03,Asia Pacific,India,Retail,Consumer,Pulse Earbuds,Electronics,4,143.79,0,720.53
1010,2024-01-03,Latin America,Mexico,Partner,Consumer,Pulse Earbuds,Electronics,4,147.67,0,473.58
1011,2024-01-04,Asia Pacific,Australia,Partner,SMB,Pulse Earbuds,Electronics,4,146.78,0,736.31
1012,2024-01-04,Latin America,Mexico,Online,Consumer,Aurora Laptop,Electronics,2,1164.96,15,1589.55
1013,2024-01-04,Asia Pacific,Australia,Retail,Consumer,Aurora Laptop,Electronics,3,1274.28,10,4314.83
1014,2024-01-05,Asia Pacific,India,Retail,Consumer,Flow Notebook,Stationery,6,11.86,0,89.34
1015,2024-01-05,North America,USA,Retail,Enterprise,Canvas Backpack,Accessories,6,92.82,20,604.11
1016,2024-01-06,Europe,UK,Partner,Consumer,Vertex Monitor,Electronics,1,317.48,10,316.03
1017,2024-01-06,North America,Canada,Retail,SMB,Ink Pen Set,Stationery,4,24.53,0,133.19
1018,2024-01-06,Europe,UK,Online,Consumer,Aurora Laptop,Electronics,2,1242.92,0,2749.41
1019,2024-01-06,Latin America,Brazil,Retail,Enterprise,Pulse Earbuds,Electronics,6,148.58,15,609.53
1020,2024-01-06,Latin America,Mexico,Online,Consumer,Vertex Monitor,Electronics,2,306.66,0,493.34
1021,2024-01-06,North America,USA,Partner,Consumer,Lumen Lamp,Furniture,1,67.11,0,91.09
1022,2024-01-07,Asia Pacific,India,Retail,Consumer,Terra Desk,Furniture,4,251.47,10,1139.06
1023,2024-01-07,Latin America,Mexico,Retail,Consumer,Pulse Earbuds,Electronics,2,144.39,0,232.54
1024,2024-01-08,Europe,Germany,Partner,SMB,Terra Desk,Furniture,2,260.61,0,577.74
1025,2024-01-08,North America,USA,Retail,Consumer,Pulse Earbuds,Electronics,2,146.08,5,377.57
1026,2024-01-08,Europe,UK,Partner,Enterprise,Vertex Monitor,Electronics,2,345.57,15,651.17
1027,2024-01-08,Asia Pacific,India,Online,SMB,Canvas Backpack,Accessories,7,91.13,5,763.33
1028,2024-01-08,Asia Pacific,India,Retail,Consumer,Nimbus Phone,Electronics,3,841.65,20,2544.32
1029,2024-01-09,Europe,France,Partner,SMB,Canvas Backpack,Accessories,8,87.72,0,778.7
1030,2024-01-09,North America,USA,Partner,Consumer,Ergo Chair,Furniture,6,325.22,0,2657.38
1031,2024-01-09,Europe,France,Online,Enterprise,Nimbus Phone,Electronics,4,767.07,10,3064.23
1032,2024-01-09,Asia Pacific,Japan,Online,Enterprise,Nimbus Phone,Electronics,2,828.37,5,1984.63
1033,2024-01-10,Europe,Germany,Online,SMB,Nimbus Phone,Electronics,3,773.61,5,2449.19
1034,2024-01-10,Asia Pacific,Japan,Online,SMB,Pulse Earbuds,Electronics,1,154.61,5,185.41
1035,2024-01-10,Europe,UK,Retail,Consumer,Aurora Laptop,Electronics,2,1277.41,0,2838.02
1036,2024-01-10,Asia Pacific,Japan,Partner,Consumer,Pulse Earbuds,Electronics,3,161.69,10,551.09
1037,2024-01-10,Asia Pacific,Australia,Retail,SMB,Aurora Laptop,Electronics,1,1181.26,0,1491.14
1038,2024-01-10,Latin America,Brazil,Partner,SMB,Pulse Earbuds,Electronics,3,155.91,0,377.87
1039,2024-01-11,Europe,Germany,Online,SMB,Canvas Backpack,Accessories,7,88.74,20,552.63
1040,2024-01-11,North America,USA,Partner,Consumer,Lumen Lamp,Furniture,8,72.92,10,716.55
1041,2024-01-11,Europe,UK,Online,Enterprise,Aurora Laptop,Electronics,4,1226.19,10,4908.93
1042,2024-01-11,Europe,UK,Online,Enterprise,Pulse Earbuds,Electronics,9,147.37,15,1253.71
1043,2024-01-12,Europe,France,Partner,Consumer,Ink Pen Set,Stationery,3,26.56,0,88.7
1044,2024-01-12,Latin America,Brazil,Partner,Consumer,Ink Pen Set,Stationery,6,26.78,20,104.07
1045,2024-01-13,North America,USA,Retail,Consumer,Vertex Monitor,Electronics,2,337.97,0,924.52
1046,2024-01-13,Europe,Germany,Online,Enterprise,Ink Pen Set,Stationery,3,24.82,5,78.83
1047,2024-01-13,Asia Pacific,Japan,Partner,Consumer,Pulse Earbuds,Electronics,3,144.75,0,549.95
1048,2024-01-14,North America,Canada,Retail,SMB,Aurora Laptop,Electronics,3,1234.57,5,4817.68
1049,2024-01-14,Europe,Germany,Online,Consumer,Canvas Backpack,Accessories,7,91.58,0,715.21
1050,2024-01-14,Asia Pacific,Australia,Partner,SMB,Flow Notebook,Stationery,4,12.07,0,61.21
1051,2024-01-14,Latin America,Mexico,Online,SMB,Lumen Lamp,Furniture,5,69.31,10,253.07
1052,2024-01-15,North America,Canada,Partner,Consumer,Ergo Chair,Furniture,7,356.07,15,2904.01
1053,2024-01-15,North America,Canada,Retail,SMB,Vertex Monitor,Electronics,3,321.88,0,1323.61
1054,2024-01-15,Europe,France,Partner,Consumer,Pulse Earbuds,Electronics,2,151.73,10,305.03
1055,2024-01-15,Latin America,Brazil,Partner,Consumer,Flow Notebook,Stationery,6,12.68,0,61.8
1056,2024-01-15,Asia Pacific,Australia,Online,SMB,Pulse Earbuds,Electronics,1,147.27,0,186.91
1057,2024-01-16,Europe,UK,Partner,Enterprise,Vertex Monitor,Electronics,10,320.63,5,3405.66
1058,2024-01-16,North America,USA,Online,Enterprise,Canvas Backpack,Accessories,21,94.91,0,2734.93
1059,2024-01-16,Asia Pacific,Japan,Online,Consumer,Aurora Laptop,Electronics,4,1265.02,0,6429.07
1060,2024-01-16,Asia Pacific,Australia,Retail,Enterprise,Lumen Lamp,Furniture,35,73.27,0,3258.26
1061,2024-01-16,Europe,Germany,Retail,SMB,Flow Notebook,Stationery,8,11.77,15,89.49
1062,2024-01-17,North America,Canada,Partner,Consumer,Pulse Earbuds,Electronics,1,145.44,0,199.79
1063,2024-01-17,Europe,UK,Retail,Consumer,Flow Notebook,Stationery,6,12.13,10,73.32
1064,2024-01-17,North America,Canada,Partner,SMB,Vertex Monitor,Electronics,1,340.64,20,374.34
1065,2024-01-17,Europe,Germany,Retail,Consumer,Aurora Laptop,Electronics,4,1256.61,10,5063.43
1066,2024-01-17,Europe,France,Retail,Consumer,Canvas Backpack,Accessories,7,85.84,5,638.93
1067,2024-01-18,Asia Pacific,Japan,Online,SMB,Flow Notebook,Stationery,1,12.32,5,14.9
1068,2024-01-18,Asia Pacific,India,Retail,Consumer,Lumen Lamp,Furniture,3,68.87,0,263.07
1069,2024-01-18,North America,Canada,Retail,SMB,Pulse Earbuds,Electronics,3,161.05,20,531.52
1070,2024-01-18,Europe,UK,Online,SMB,Terra Desk,Furniture,6,268.97,0,1808.27
1071,2024-01-19,Asia Pacific,India,Online,Consumer,Nimbus Phone,Electronics,2,809.25,0,2063.03
1072,2024-01-19,North America,USA,Retail,Consumer,Terra Desk,Furniture,3,267.52,10,994.35
1073,2024-01-20,Asia Pacific,India,Online,Consumer,Canvas Backpack,Accessories,5,93.42,10,536.43
1074,2024-01-20,Latin America,Mexico,Partner,Consumer,Canvas Backpack,Accessories,4,93.66,0,305.95
1075,2024-01-21,Asia Pacific,Australia,Partner,SMB,Ink Pen Set,Stationery,1,25.48,0,32.55
1076,2024-01-21,Asia Pacific,India,Retail,Consumer,Terra Desk,Furniture,8,261.65,0,2673.85
1077,2024-01-21,Europe,Germany,Partner,Consumer,Flow Notebook,Stationery,5,12.66,10,64.04
1078,2024-01-21,Europe,Germany,Partner,SMB,Terra Desk,Furniture,5,275.79,0,1550.09
1079,2024-01-22,North America,Canada,Partner,Consumer,Pulse Earbuds,Electronics,4,143.06,0,790.3
1080,2024-01-22,Asia Pacific,India,Retail,Consumer,Terra Desk,Furniture,6,276.75,0,2123.39
1081,2024-01-23,Europe,France,Partner,Consumer,Canvas Backpack,Accessories,7,92.0,5,689.21
1082,2024-01-23,North America,Canada,Online,Consumer,Lumen Lamp,Furniture,2,68.52,0,189.46
1083,2024-01-23,Asia Pacific,Japan,Partner,Consumer,Flow Notebook,Stationery,6,12.95,5,94.49
1084,2024-01-23,Europe,Germany,Retail,Consumer,Flow Notebook,Stationery,4,12.53,0,56.46
1085,2024-01-24,North America,USA,Retail,SMB,Nimbus Phone,Electronics,3,846.59,0,3515.11
1086,2024-01-24,North America,Canada,Partner,Consumer,Nimbus Phone,Electronics,2,764.73,0,2116.81
1087,2024-01-24,North America,Canada,Retail,Consumer,Flow Notebook,Stationery,2,11.42,20,25.29
1088,2024-01-24,North America,Canada,Online,Consumer,Vertex Monitor,Electronics,3,323.87,20,1075.79
1089,2024-01-25,Europe,UK,Online,SMB,Ergo Chair,Furniture,3,347.88,20,942.56
1090,2024-01-25,North America,USA,Partner,SMB,Nimbus Phone,Electronics,2,814.35,20,1805.26
1091,2024-01-26,Latin America,Mexico,Retail,Enterprise,Ink Pen Set,Stationery,2,24.43,20,32.13
1092,2024-01-26,North America,USA,Online,Consumer,Nimbus Phone,Electronics,2,802.49,0,2226.09
1093,2024-01-26,Asia Pacific,Japan,Partner,Consumer,Pulse Earbuds,Electronics,3,159.26,15,521.55
1094,2024-01-26,North America,USA,Partner,SMB,Canvas Backpack,Accessories,4,86.84,5,457.69
1095,2024-01-26,North America,USA,Online,SMB,Canvas Backpack,Accessories,1,94.77,0,131.44
1096,2024-01-27,Asia Pacific,Australia,Retail,Consumer,Canvas Backpack,Accessories,5,90.21,15,492.9
